,platform,store,date,review,rating,category
12,balaan,google,20230912,잠자기 전에 생각없이 아이쇼핑하기 조아요 늘어나는 찜목록은 주체할수없지만 위시리스트 하나씩 만들어가는 것도 재미나요 월급받으면 하나씩 지르고 있어요ㅎㅎ매장보다 착한 가격에 살수있어 가능한 일인듯,5,가격&프로모션
13,balaan,google,20230912,정기적으로 이벤트 자주 해주세요 쿠폰도 많이 뿌려주시고 상품 다양하지만 좋은 가격대 상품 더 많이 들어오면 좋겠어요~지금도 좋지만 더 좋아지기를 바래요 언제나 응원합니다ㅎㅎ,5,"가격&프로모션, 상품 구색"
14,balaan,google,20230912,"지갑사고 탈퇴하려고했는데 할인쿠폰, 포인트 쌓이는거 야금야금 활용하다보니 벌써 5번정도 주문햇네요, 명품 쇼핑은 어렵다고 생각했는데 덕분에 편하게 이용하고 있어요",5,"UX/UI 편의성, 가격&프로모션"
15,trenbe,google,20230912,"욕이 아까울정도로 무책임,무성의,무대응 고객을 아주 x으로 아는곳",1,고객센터
16,balaan,google,20230911,핸드폰으로 명품을 살 수 있는 앱이라 좋네요. 무조건 명품은 매장에서 사야한다는 사람인데 지금은 발란에서도 종종 쇼핑하고 있어요. 종류도 다양하고 할인쿠폰이나 이벤트 등도 이용해보면 원래 금액보다 저렴하게도 살 수있어 좋은 것 같습니다.,5,"가격&프로모션, 상품 구색"
17,balaan,google,20230911,울 아빠 생신 선물 처이스하다가 옆에 머플러가 저렴해서 엄마드라려고 사버렸어요..ㅎ 쿠폰 적용하니 오프라인에서 본 가격에 조금만 보태면 두개나 살 수 있겠더라구여! 덕분에 효녀됐습니다. 배송도 엄청빨라요.감사합니다ㅎ_ㅎ,5,"가격&프로모션, 배송"
18,balaan,google,20230911,몽클레어 점퍼 좋은 가격에 구입해서 너무 기분 좋았어요ㅋㅋ사이즈는 매장에서 입어봐서 실패없었어요ㅋㅋ,5,가격&프로모션
19,balaan,google,20230911,몇달동안 사용해보고 있는데 의외로 손이 마니가는 앱이네요 악세서리나 티셔츠같은거는 눈팅하다가 포인트 합쳐서 사면 부담이 줄어드니 더 쇼핑하게 되는 것 같기도... 즐겁게 쇼핑합니다 감사합니다,5,가격&프로모션
20,balaan,google,20230911,정품 보장해서인지 제가 구매한 것들은 전부 다 찐이였어요. 정품확실하고 온오프 최저가인데 어떻게 모른척하쥬? 이제 여기저기 검색안합니다.(사실 조금하지만) 늘 발란에서만 사게 되네요. 잘쓰고있어요~.~,5,"정품 안전성, UX/UI 편의성, 가격&프로모션"
21,balaan,google,20230911,쿠폰 너무많뜸 쇼핑 불가할정도로 귀찮게함,1,가격&프로모션
22,balaan,google,20230911,B최저가 상품 마니 올려주세요ㅠㅠ 가격대 정말 좋은데 품절뜨면 가슴 찢어집니다ㅠㅜㅠㅋㅋ 신상 업데이트할때마다 체크하는데 정말 꿀템 많아요 추천합니다ㅋㅋ,5,"앱 오류, 가격&프로모션, 상품 구색"
23,balaan,google,20230911,지난주 쇼핑갔다가 오프라인에서 본 가방이 계속 아른거려서 검색하다가 우연히 알게 된 발란. 매장가보다 훨씬 저렴하고 받아보니 제품상태 너무 좋구요. 자주 애용하게될것같네요^^,5,"UX/UI 편의성, 가격&프로모션"
24,balaan,google,20230911,정품 이슈가 있어서 걱정했는데 지금까지 샀던거 모두 이상없었습니다. 정품 감정도 해봤는데 모두 오케이!!,5,정품 안전성
25,trenbe,google,20230911,예전부터 앱 잘쓰고 있었는데 요새들어 로딩이 느려지고 렉도 잘걸려서 화면이 정지가 되어있구 앱사용시 핸드폰에 발열이 일어나요 (다른 어플 사용시에는 핸드폰이 멀쩡합니다),1,앱 오류
26,mustit,apple,20230910,좋아요,5,전반적인 만족도&기타
27,balaan,google,20230910,브랜드들이 진짜 다양하고 가격까지 저렴하고 정말좋아요. 덩치가 좀 있어서 110넘어 가는 오버사이즈 찾는게 힘들었는데 발란에는 제품도 많고 다양해서 좋아요!,5,"가격&프로모션, 상품 구색"
28,balaan,google,20230910,o_o!!! 백화점 판매 가격보다 싸게 구매했어요 ㅋㅋ 개이득~~,5,가격&프로모션
29,balaan,google,20230910,오~~ 오픈 초기에 가입했다가 올만에 들어왔는데 진짜 많이 개선됐네요ㅋㅋㅋㅋ너무 악평이 많아서 글쓰러왔어요. 보기도 편해지고 소비자의견 반영해서 디벨롭하는거 좋은데요. 확실히 가격이 착하네요.,5,"UX/UI 편의성, 가격&프로모션"
30,balaan,google,20230910,인터넷으로 명품 살수 있는곳,5,전반적인 만족도&기타
31,mustit,google,20230909,송미,3,전반적인 만족도&기타
32,balaan,google,20230909,사이즈가 어떨지 의문이긴 하지만 후기가 좋아서 주문합니다.,3,상품 설명
33,mustit,google,20230908,굿,5,전반적인 만족도&기타
34,balaan,google,20230908,일단 써봄,5,전반적인 만족도&기타
35,balaan,google,20230908,배송이 진짜 빠르고 정품보상 참 좋습니다. 저렴한 가격으로 매번 사용해요.,5,"정품 안전성, 가격&프로모션, 배송"
36,mustit,google,20230908,앱에서 11주년 쿠폰다운안됨,1,"앱 오류, 가격&프로모션"
37,balaan,google,20230907,좋아요!!! 저의 최애앱입니다. 추워서 밖에 나가기 싫은데 잘 됐어요ㅎㅎ 따땃하게 집에서 빠르고 간편하게 쇼핑^.~,5,UX/UI 편의성
38,balaan,google,20230907,가격이 너무너무 착해서 정품 감정 받아봤어요... 정품 판정받고 한번 더 감동~~~ 앞으로 백화점 안가도 될것같아요.,5,"정품 안전성, 가격&프로모션"
39,balaan,google,20230907,저렴한 가격에 나 자신에게 주는 선물 결제했어요. 선물 빨리 받을 수 있어서 넘 좋아영,5,가격&프로모션
40,balaan,apple,20230907,아주 좋아오,5,전반적인 만족도&기타
41,trenbe,apple,20230907,살때 어디가 싼지 알수 있어서 좋네요,4,가격&프로모션
42,mustit,apple,20230906,마지막 결제가 안 되는데 무슨 일인가요 ?,2,앱 오류
43,balaan,google,20230906,어그제 백화점 사이트에서 주문한 것보다 더 저렴해서 결제취소하고 샀어요 ㅋㅋ,5,가격&프로모션
44,balaan,google,20230906,엄마 생일이라서 선물 준비하면서 이용했는데 아주 만족합니다. 무엇보다 엄마가 아주 만족하세요:),5,전반적인 만족도&기타
45,balaan,google,20230906,화면서 본 그대로 딱 집앞에 도착! 배송도 빨리오니까 기분이 좋아요 ㅎㅎ,5,"앱 오류, 배송"
46,trenbe,google,20230906,앱이 진짜 너무 느립니다 서버를 확충해야 되는 지 뭔지 모르겠지만 이용할 때마다 답답....,2,앱 오류
47,balaan,google,20230906,지금까지는 너무너무 만족하며 잘 쓰고 있습니다!!,5,전반적인 만족도&기타
48,balaan,google,20230905,늘 그랫듯 발란은 무조건 약속한 날짜에 딱 맞춰 도착했습니다. 감사합니다.,5,배송
49,balaan,google,20230904,생각보다 더더 빨리 도착했어요! 너무 고맙습니다. 번창하세요!,5,배송
50,balaan,google,20230904,결재취소 안됨 일부러 오류나게 해놨는지 계속 오류뜸 쓰레기,1,앱 오류
51,balaan,google,20230904,배송도 정말로 빠르고 핏~~도 좋습니다!!,5,배송
52,balaan,google,20230904,별 한 개도 아깝다 고객센터라는게 있긴한건가,1,고객센터
53,balaan,google,20230904,너무이뻐요,4,전반적인 만족도&기타
54,balaan,google,20230903,꾸준히 사용하고 있어용. 상품 업데이트랑 재고 관리를 잘 해서 좋습니당!!,5,"앱 오류, 상품 구색"
55,balaan,google,20230903,오늘배송!!!! 정말로 혁명이 아닌가요...... 주말 전에 꼭 받길 간절히 원했는데 진짜로 당일에 배송 와서 안도 했어요!!!!,5,배송
56,balaan,google,20230903,백화점 쇼핑갔더니 사이즈 없어서 못 샀는데.... 발란에서 더 싸게 샀어요>_<,5,가격&프로모션
57,mustit,google,20230903,"빠른배송, 다양한 할인상품, 믿을수잏는제품등이 좋아요",5,"정품 안전성, 가격&프로모션, 배송, 상품 구색"
58,trenbe,google,20230902,"아오 렉이 오지게 걸려서 쇼핑을 할수가없네요ㅡㅡ 앱을 삭제하던가해야지 원,",1,앱 오류
59,mustit,google,20230902,저렴한 가격에 명품을 살 수 있어서 강추^^,4,가격&프로모션
60,mustit,google,20230901,"빠른 배송, 좋은 상품 👍",5,"배송, 상품 품질"
61,balaan,google,20230901,상품 각각을 판매자별로 최저가를 비교해주니까 너무너무 좋음!! 사이트 여러 곳 발품 팔 필요가 없다니…. ㅜㅜ 자주자주 이용할 거 같아요,5,"가격&프로모션, 상품 구색"
62,balaan,google,20230831,최저가 검색하여서 나온곳이라서 처음 이용해 봤는데…. 검수 영상도 찍어주니까 좀 더 안심하고 사용할 수 있을 거 같네요.,5,"정품 안전성, UX/UI 편의성, 가격&프로모션"
63,balaan,google,20230831,매일매일 최저가 상품을 갱신해주니까 더더 보는 맛이 있어요!!! 저렴하게 명품 건질 수 있는 최고의 쇼핑몰 ㅎㅎㅎ,5,가격&프로모션
64,balaan,google,20230831,결제 이벤트를 많이 해서 좋아요~ 카카오페이 결제 이벤트때 구매하니 할인 많이 받을 수 있네요!!,5,가격&프로모션
65,balaan,apple,20230831,가격대비 완전만족 사이즈색상 의류감촉 최고에요,5,가격&프로모션
66,balaan,google,20230831,고객센터가 친절하고 응대도 잘해주시니 너무 호감이었어요. 고가 제품 판매하다보니 이런 서비스가 정말 중요한 거 같아요,5,"가격&프로모션, 고객센터"
67,mustit,apple,20230830,재고 확인좀 하면 좋겠네요 아무리 해외배송이어도 몇번이고 언제까지 주문 후에 취소당하는건 좀 .. 시간 아까워서라도 안 쓰고 싶어져요,2,"배송, 상품 구색"
68,balaan,google,20230830,브랜드별로 인기상품들도 비교할 수 있어서 좋앙소!! 사실 브랜드 이름만 좀 알고 브랜드 내에서 뭐가 이쁘고 인기 있는건지 제 눈으로는 잘 모르겠는데 ㅋㅋ 랭킹 보면서 도움 많이 받고 있습니다.,5,"UX/UI 편의성, 상품 구색, 상품 품질"
69,balaan,google,20230830,좋아요,5,전반적인 만족도&기타
70,trenbe,apple,20230829,"제품이나 브랜드 검색했을 때 윗 필터 상단에 ‘중고 상품만’ 카테고리 말고 새 상품만 검색될 수 있는 버튼 좀 만들어 주십쇼
애초에 새상품 구매하는 소비자가 훨씬 많을 거 같은데 뭣하러 중고 상품 버튼을 만든 지 모르겠습니다
차라리 중고만 파는 마켓을 따로 빼던지 하는게 나을 거 같습니다.",3,"UX/UI 편의성, 상품 구색"
71,balaan,google,20230829,"여성, 남성, 골프 등등 자세하게 카테고리 나누어져 있어서 편한데 골프 안에서도 또 여성, 남성, 용품 등등 나누어지니 골프 용품 사기에 정말 좋습니다!!",5,"UX/UI 편의성, 상품 구색"
72,balaan,apple,20230829,"제품이 다양하고 가격도 저렴해서 눈팅 자주하고 구매도 해봅니다
역시 물건 받아보니 믿음 가네요",5,"정품 안전성, 가격&프로모션, 상품 구색"
73,balaan,google,20230829,실물 사진이 부족한듣 합니다,4,전반적인 만족도&기타
74,balaan,google,20230829,직관성 있는 디자인 좋습니다. 앱으로 명품 쇼핑 쉽게 가능하니까 너무 좋네요. 집순이 친화적인 앱 ㅋㅋㅋ,5,UX/UI 편의성
75,balaan,google,20230829,발란을 설치하고부터는 명품 쇼핑의 질이 달라졌네요. 어디서든 앱만 키면 되니까 진짜 편리 ㅋㅋ,5,"UX/UI 편의성, 앱 오류"
76,balaan,google,20230829,명품 커머스중에서는 제일 최적화 잘 되어 있는 거 같아요. 다른 앱 쓰다가 빡쳐서 발란 쓰게 되네요 ㅠ,5,전반적인 만족도&기타
77,balaan,google,20230829,웬만한 명품 검색하면 대부분 있어요. 여러 곳 발품 파는 것 보다 발란 하나에서 보는게 편하구 좋네요!! 잘 찾으면 진짜 저렴한 제품들 많구요,5,"UX/UI 편의성, 가격&프로모션, 상품 구색"
78,balaan,google,20230829,검수 동영상 정성 대박 무엇… 영상까지 찍어주다니 ㅋㅋㅋ 넘 좋아요…. 계속 쓸게요!!,5,정품 안전성
79,mustit,google,20230828,알람 다꺼놨는데 알람자꾸와서 짜증나서 삭제함,1,전반적인 만족도&기타
80,mustit,google,20230828,황영웅씨새신곡김수희새신곡조관우새신곡진시모새신곡진성새신곡드라마영화주제곡빌리드경음악유튜음악,5,전반적인 만족도&기타
81,balaan,google,20230828,구우웃,5,전반적인 만족도&기타
82,balaan,google,20230827,핏도 이쁘고 고급스럽게 너무 이쁘네요. 맘에 듭니다.,5,상품 품질
83,trenbe,google,20230826,스크롤 안 내려가는 오류는 대체 언제 고쳐질까요,2,"UX/UI 편의성, 앱 오류"
84,mustit,google,20230826,앱 알림설정을 껐는데 왜 자꾸 광고 알림이 올까요? 한 번만 더 오면 그냥 앱 삭제하려고요 --------- 아래 보니까 앱설정 확인하라는 답변이 있길래 추가합니다. 앱설정: 수십회 확인 앱버전: 최신버전 확인 기종: 갤럭시S 22 플러스,2,고객센터
85,balaan,apple,20230825,감사합니다,5,전반적인 만족도&기타
86,trenbe,google,20230824,밑으로 스크롤이 안됩니다...,1,UX/UI 편의성
87,balaan,apple,20230824,"상품 6개 구매함 .
오배송 3건 포장불량 1건 
20일 걸려 받은 답변 . 
중간에서 업체와 연결하기에 도울수 있는 방법없음.
누락되었고 사이즈 품절이니 환불하거나 다른 사이즈로 받으라는 상담사의 답변. 

결론은  0점이 없는게 아쉬울 정도",1,"배송, 상품 구색, 상품 품질, 고객센터"
88,balaan,google,20230824,"제가 선호하는 브랜드들의 제품들이 다양하게 구비되어 있고, 재고도 있어서 좋아요. 검색 필터 기능도 유용하고 한눈에 보기가 좋네요",5,"UX/UI 편의성, 상품 구색"
89,balaan,google,20230824,신상들도 수시로 업데이트 되니 트렌드 맞게 구매하기가 좋아요,5,"앱 오류, 상품 구색"
90,balaan,google,20230824,요즘 인스타보다도 발란을 자주 보고 있어요 ㅋㅋㅋㅋ 제 취향 맞춰서 추천해주니까 보는 재미가 쏠쏠 ㅠㅠ,5,전반적인 만족도&기타
91,trenbe,google,20230823,구찌제품은 며품답게 고급지면서 어느의상이나 어느장소에도잘어울리제품이라더욱소장하고싶습니다,5,전반적인 만족도&기타
92,balaan,google,20230823,다양한 상품들 좋은 가격으로 핸드폰으로 바로 바로 살 수 있다니…. 번창하세요 ㅋㅋㅋ,5,"가격&프로모션, 상품 구색"
93,balaan,google,20230823,꼭 명품 아니더라도 나이키 이런 인기 브랜드 제품들도 저렴하게 올라와서 좋네요~!,5,"가격&프로모션, 상품 구색"
94,balaan,google,20230823,좋아요~,5,전반적인 만족도&기타
95,balaan,google,20230823,"낚시가 없어서 좋아요.. 첨부터 상품 가격에 관세랑 부가세, 배송비 포함이라서 ㅋㅋㅋㅋ",5,"가격&프로모션, 배송"
96,balaan,google,20230822,역시 가격좋고 배송빨라요,4,"가격&프로모션, 배송"
97,balaan,google,20230818,앱에서 카카오로 로그인이 안되요,2,앱 오류
98,balaan,google,20230818,좋아요,5,전반적인 만족도&기타
99,trenbe,google,20230818,여기에서 물건샀는데 얼마 안되서 망가졌어요. 삭은걸 팔아놓고 중고인점 고지됐다는 말만함. 여기서 물건살때 백만번 고민하고 사던지 백화점에서 사던지 해야함.,1,앱 오류
100,balaan,google,20230817,그냥싸서 좋은것같네요,5,전반적인 만족도&기타
101,mustit,apple,20230817,"사이즈 안 맞아서 교환 신청 했는데
알아서 수거도 진행해 주시고 교환품도 먼저 보내 주시고
고객 만족이 뭔지 아는 머스트잇이네요",5,배송
102,balaan,apple,20230817,제품 설명이 너무 아쉬워요  질문하기도 어렵고요,2,"UX/UI 편의성, 상품 설명"
103,mustit,google,20230817,옷이좋아요 재질도,5,전반적인 만족도&기타
104,balaan,google,20230816,상품이 참 다양하고 개인쇼핑 스타일에 맞춰서 연관 상품도 자동으로 추천되고 리뷰도 다양해서 큰 도움이 됩니다.. 매월 행사도 잘 정리되어 있어요..,5,"UX/UI 편의성, 가격&프로모션, 상품 구색"
105,balaan,google,20230816,같은 상품이라도 업체마다 가격이 달라서 가격비교하면서 사고 있습니다 정품보장되는 것도 마음에 들고요 간혹 브랜드 더스트백없이 오기도 하는데 이점은 아쉬워요 앞으로 점점 좋아질거라고 믿습니다,5,"정품 안전성, UX/UI 편의성, 가격&프로모션, 상품 구색"
106,balaan,google,20230816,최저가로 명품을 구매 가능하네요!! 정품 걱정은 안해도 됩니다~~,5,"정품 안전성, 가격&프로모션"
107,mustit,google,20230816,다른사람들도 같은 현상이 일어나고있는데 회원가입해서 물건 사고 배송만 기다리고 있는데 마이페이지가 몇번이고 안들어가져서 앱 삭제하고 다시깔아서 로그인하는데도 계속 실패하네요 해결되었다고 다른 리뷰 답변 봤는데 해결이 전혀 안됐네요 이건 어쩌라는거죠? 물건 사놓고 뭐 로그인조차 못하고 실패하고 제 물건은 어찌하라고 이런 상황이 벌어지죠? 한두푼 하는 것도 아닌 명품을 구매한 상태에서 배송 받기 얼마 남지도 않은 상황에 이런일이 벌어지면 소비자는 무얼 믿고 머스트잇을 사용하나요? 빠른 조치 부탁드립니다.,1,"정품 안전성, 앱 오류, 배송, 고객센터"
108,balaan,apple,20230816,"모웹으로 갈수밖에 없는건 알겠는데 계속 쌓아서 무거워지는거 좀 해결해보세요
아니 뭐하나 제대로 눌러지는것도 없고 서버 꽉들어차서 렉 오지게 걸리고
ui는 뭐 그렇다 치고 제발 하단네비게이션에 빽키는 왜 만든겁니까 바로 뒤로가지도 않는거 답답하네요 진짜",1,"UX/UI 편의성, 앱 오류"
109,trenbe,apple,20230815,"제가 신발하나 구입을 했는데
예상 배송일이 16-18일 걸린다 적혀있고 
상세페이지에는 코로나때문에 17일 이상 걸릴수도있다고 적혀있었습니다. 8/2 일에 주문을 했고 8/16일 오늘에서야 검수 센터로 넘어왔다고 하네요. 검수하고 통관하고 한국으로 넘어와서 배송하고 대체 언제 배송이되는건가요?(지금 코로나로 핑계될 시기는 지나지않았나요?) 환불 하려고 했더니 이건 배송 지연문젠데 소비자 책임으로 넘겨서 수수료를 약 10만원이나 떼가는 악덕 중개 플랫폼이네요 어처구니가 없습니다.",5,"정품 안전성, 가격&프로모션, 배송, 상품 설명"
110,balaan,google,20230814,정품 백퍼센트보장으로 믿고 구매하고 있습니다!! 친구들한테도 발란 추천하는 편입니다~~,5,정품 안전성
111,balaan,google,20230814,가격대가 너무 달라서 혼돈 스럽고 50만원 쿠폰의 의미를 10%할인으로 바꾸는게 정상일 듯,4,가격&프로모션
112,balaan,google,20230814,저의 최애 앱은 발란입니다.... 우연한 기회에 접하게 돼서 소소하게 지르고 이써요ㅎㅎ앞으로 더 많은 혜택이 있기를 바래요ㅎㅎ,5,전반적인 만족도&기타
113,mustit,apple,20230813,로그인이 아예 안되는데 이게 어떻게 된 걸까요..? 주문 정보 확인해야 되는데 확인할 수가 없어요ㅠㅠ 오류 좀 해결해주세요,4,앱 오류
114,mustit,apple,20230813,"아이디,개인정보 다 맞게쳐도 인증이 안된다고만 계속하는데 그냥 앱 이용하지 말라는 건가요?",1,앱 오류
115,mustit,apple,20230813,방금 애플로그인 하려고 했는데 정보 조회에 실패했다고 나오던데 왜 그런지 잘 모르겠네요…,1,앱 오류
116,balaan,google,20230813,정품 명품은 무조건~ 발란!!! 몇년전 직구해보고 배송 한달 넘게 걸렸던 기억이 있는데 발란은 다음날 오는 제품도 있고 예상기간보다 더 빨리 오는 경우도 있어서 안심하고 이용하고 있습니다!!,5,"정품 안전성, 배송, 상품 구색"
117,balaan,apple,20230813,진짜 취소반품비용으로 장사하나요? 말도안되는시스템. 후기보니 짭도 많은거같은데 다른어플 이용하시길,1,"정품 안전성, 앱 오류, 가격&프로모션, 배송, 상품 구색, 상품 설명"
118,mustit,google,20230813,회원가입하고 물건삿는데 그뒤로 카톡으로 로그인이 왜 자꾸 실패하는건지 짜증남,1,"UX/UI 편의성, 앱 오류"
119,mustit,google,20230813,카카오톡 네이버 연동 로그인이안됩니다!,1,앱 오류
120,balaan,google,20230812,오리진 명품을 좋은 가격으로 구매할수있어 너무 좋아요,5,가격&프로모션
121,mustit,google,20230812,굿,5,전반적인 만족도&기타
122,mustit,google,20230812,"가격이 천차만별이긴 하지만 다 정품이라서 걱정안되고 제품에 따라 다르지만 크림은 배송비,수수료 무조건 붙지만 머스트잇은 아니고 일부제품은 가격면에서 크림보다 괜찮다고봄 하지만 대화주문 같은경우나 판매자 전화는 거의 연결안된다고 보면되고 검색하면 나오는 창이 너무 조잡함 리뷰보면 로그인 문제 많던데 현재는 다 개선된거같음",5,"정품 안전성, UX/UI 편의성, 앱 오류, 가격&프로모션, 배송"
123,trenbe,google,20230812,상품사진을 보려고 스크롤 하는데 왜 자꾸 사진이 확대 되나요 손만 갖다대면 확대되는거 땜에 스크롤하기 불편해요,2,UX/UI 편의성
124,balaan,google,20230811,굿입니다 잘신을께요,5,전반적인 만족도&기타
125,balaan,google,20230811,너무 싸게 구매한것 같아요,5,가격&프로모션
126,trenbe,google,20230811,제가왠만해서 리뷰안쓰는데 아마 태어나서 처음일거임 한두푼도 아니고 결제취소도 안돼 상품준비만 몇일몇날 연락도없고 문의도 ai수준 소비자로서 너무답답하고 후회됨 하루하루 그냥 명품샾방문해서 맘편하게사셈 가품진품 고민하지말고 그냥 명품샾 날잡고 가서 사는게 훨씬 맘편하고 오히려더쌈 진짜 최악임 배송부터 결제시작부터 스트레스임 ㅋㅋ 명품사는데 취소가없음 상품도착해서 환불도아니고 결제하고나서 1시간만지나면 결제취소도못하게 막아놓고 그냥 기다릴수밖에없음 소비자를 개xx으로 보는거임,1,"정품 안전성, UX/UI 편의성, 앱 오류, 배송, 고객센터"
127,balaan,google,20230810,연관상품을 볼수 있는 기능이 잘되 있어요!! 정품 직구 쉽고 편하게 방구석에서 가능함 딱히 불편한 점은 못 느꼈어요.,5,"정품 안전성, UX/UI 편의성"
128,balaan,google,20230810,B최저가 메뉴 최고네요 좋은 가격으로 아이템을 구할 수 있어요 명품쇼핑앱이 여러 개 있지만 가장 손이 많이 가는 앱이에요,5,"UX/UI 편의성, 가격&프로모션, 상품 구색"
129,trenbe,google,20230810,처음 깔때는 스크롤에 문제가없는데 그뒤로 두번째 들어가면 몇몇에는 스크롤 이슈가 발생합니다 오류 빠르게 업데이트하여 고쳐주세요 요번 업데이트 이후로생긴 버그같은것 같습니다 감사합니다.,5,"UX/UI 편의성, 앱 오류"
130,balaan,google,20230810,원래 가지고 있던걸 버리게 돼서 사게 됐어요.변색도 거의없어서 애정하던건데 ㅎ,5,전반적인 만족도&기타
131,balaan,google,20230810,지금까진 만족이에요.,5,전반적인 만족도&기타
132,balaan,google,20230810,"리퍼 세일, 발란 픽업 등 서비스 잘 살펴보세요 최저가보다도 싸게 나오는 템들이 있습니다. 오랫동안 이용해오면서 불만도 있지만 그래도 명품살때는 발란을 이용하게 되네요.",5,"가격&프로모션, 상품 구색"
133,balaan,google,20230810,"명품살때는 무조건 발란을 사용하는 1인입니다:) 명품이 아니라 나이키, 어그 등 구입할 때도 유용한 앱이예요. 메뉴가 다양한게 보기 쉽게 잘 구성한 것 같아요~ 네이버페이 카카오페이 돼서 조아요 뭣보다 정품이니까요",5,"정품 안전성, UX/UI 편의성, 상품 구색"
134,balaan,google,20230809,"가장 많이 사용하는 쇼핑 어플입니다~ 어른, 아이 다양하게 상품이 구비되어 있어요. ㅋ ㅋ올 겨울 가족패딩은 전부 발란에서 샀습니다~정품등록도 완료~~",5,"정품 안전성, 상품 구색"
135,balaan,google,20230809,남친 생선으로 구찌 카드지갑을 주문했고 하루만인 오늘 받았어요 배송 정말 빠르고 매장에서 본것도 동일한 상품으로 하자없는 상품을 받았어요 너무 좋아서 앱리뷰도 남겨요 어그도 주문해놨는데 빨리 받고 싶어요!,5,"배송, 상품 구색, 상품 품질"
136,balaan,google,20230809,좋아요 이것저것 쿠폰쓰면 살만 합니다,5,가격&프로모션
137,balaan,google,20230809,지인이 발란서 구매한다고 해서 이용해 보고 있습니다. 판매자마다 포장 상태가 다르지만 대체적으로 잘 오는 편입니다. 리뷰쓰고 받은 포인트도 모으면 꽤돼서 포인트로 작은 악세서리도 주문하고 있습니다. 전반적으로 잘 이용하고 있습니다.,5,"가격&프로모션, 상품 품질"
138,balaan,google,20230809,어그 코케트 산다고 둘러보다가 가입했네요!! 가입 쿠폰해서 어그말고 여러가지로 샀어요 ㅎㅎ 걱정했는데 정품으로 맞게 잘 온 것 가타요 굿굿,5,"정품 안전성, 가격&프로모션, 상품 구색"
139,balaan,google,20230808,"검수하는 영상, 가격, 배송, 퀄리티 등등 모두부분이 괜찮습니다. 배송이 안 와서 cs문의햇었는데 배송기간은 오버됐지만 잘 응대해주셨습니다.",5,"정품 안전성, 가격&프로모션, 배송, 고객센터"
140,balaan,google,20230808,"너무너무 좋아요! 매장에서 신어보고 사이즈가 품절이라 그냥 돌아왔는데, 발란에서 사이즈와 디자인 원하는 것으로 게 또했어용",5,상품 구색
